clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
28,St6galnac3,0.00406442551025466,5.0,0.7923076923076924
28,Ctnna3,0.0037504209252089814,5.0,0.7615384615384617
28,Tmem117,0.0062028308190902005,1.0,0.5961538461538461
28,Robo1,0.007106266710872587,1.0,0.34615384615384615
29,Tac2,0.006908350276620816,1.0,1.0
29,Vip,0.04507025597467014,14.0,0.9986263736263736
29,Igf1,0.011578543931837987,3.0,0.9583333333333334
29,Prox1,0.0054852063782519535,2.0,0.9519230769230769
29,Egfr,0.007027610905737324,3.0,0.9423076923076923
29,Shisa6,0.009054558245097846,3.0,0.9358974358974359
29,Adarb2,0.012627656931956959,86.0,0.9328041144901611
29,Slc44a5,0.0051860650273309414,3.0,0.9230769230769231
29,Synpr,0.005433868603236081,11.0,0.9160839160839159
29,Dlx6os1,0.007392661586113454,3.0,0.8910256410256411
30,Sv2c,0.010605079141055922,3.0,1.0
30,Crispld1,0.009540863636082385,2.0,1.0
30,Pnoc,0.0074842838566020545,1.0,1.0
30,Pde11a,0.008750318921539891,6.0,0.9967948717948718
30,Kit,0.008022136909339414,5.0,0.9884615384615384
30,Npy,0.013044471453864165,12.0,0.9759615384615385
30,Fgf13,0.025377092505315887,26.0,0.9585798816568045
30,Alk,0.010578978260340726,10.0,0.9576923076923076
30,Egfr,0.008422673561362663,4.0,0.9567307692307693
30,Adarb2,0.00950565294576537,46.0,0.9201505016722409
31,L3mbtl4,0.006887617722212636,4.0,0.9903846153846154
31,Htr4,0.005602656063873587,2.0,0.9807692307692307
31,Adamts2,0.005029705511670492,1.0,0.9807692307692307
31,Gm2164,0.003435006342718245,3.0,0.9679487179487178
31,Gm19410,0.004613934176800575,3.0,0.9615384615384616
31,Cdh13,0.006022599287973939,16.0,0.9110576923076923
31,Kirrel3,0.004009709384721725,20.0,0.880769230769231
31,Nckap5,0.00513244626855234,3.0,0.8557692307692307
31,Cadm1,0.003266247103443949,23.0,0.7667224080267558
31,Lingo2,0.0028524806696159062,64.0,0.7388822115384616
32,Whrn,0.004490599333960298,1.0,1.0
32,1700047F07Rik,0.004244995224796162,1.0,1.0
32,Plxnd1,0.003933067992079458,1.0,1.0
32,Kcnk2,0.004507405888450236,6.0,0.9551282051282052
32,Thsd7a,0.006498737132918947,15.0,0.9455128205128206
32,Rorb,0.003872642846549586,13.0,0.9156804733727811
32,Hs6st3,0.007545588262972846,62.0,0.9156327543424319
32,Slc24a3,0.004453476084285043,12.0,0.8950320512820512
32,Cntn5,0.006163793290749846,58.0,0.8831233421750663
32,Rora,0.00745374397374405,49.0,0.8712715855572998
33,Robo3,0.002393096807659369,1.0,0.9807692307692307
33,Kctd8,0.004273049537206731,4.0,0.9230769230769231
33,Kcnh5,0.0025236080194347013,5.0,0.8884615384615385
33,Unc5d,0.002730784891072409,29.0,0.870026525198939
33,Cux1,0.0019180780498031231,8.0,0.8689903846153846
33,Hs6st3,0.00327528347128429,38.0,0.8623481781376519
33,Rasgrf2,0.0029384005921952658,6.0,0.8269230769230771
33,Lrrtm4,0.0018929503854636068,80.0,0.7252403846153848
33,Robo1,0.002186262658973536,2.0,0.375
33,Nkain2,0.003278392019695048,11.0,0.2867132867132867
34,Tac1,0.016634399403008735,2.0,1.0
34,Rbp4,0.00714324075177866,1.0,1.0
34,Tmem132c,0.00393333500982681,2.0,0.9903846153846154
34,Gm32647,0.005496775715974249,2.0,0.9807692307692307
34,Kcnc2,0.010376987494371876,61.5,0.940587867417136
34,Slit2,0.006518638923254724,11.0,0.8723776223776224
34,Chrm2,0.004090540159175848,2.0,0.8653846153846154
34,St6galnac5,0.003321510476842286,5.0,0.8653846153846154
34,Enox1,0.0032712923463359316,14.0,0.7884615384615384
34,Cadm2,0.004809782414865902,16.0,0.22596153846153846
35_1,Frem1,0.012061282093734233,7.0,1.0
35_1,Plppr1,0.01232024416557885,9.0,0.9871794871794871
35_1,Slc44a5,0.005863842289067146,14.0,0.9835164835164835
35_1,Adarb2,0.007801463971591382,250.0,0.974423076923077
